          precision    recall  f1-score   support
(cerita) percintaan       1.00      1.00      1.00         1
(ditulis dengan huruf kecil) perempuan       1.00      1.00      1.00         1
alat dari besi baja yang bergerigi, dipakai untuk meratakan (menajamkan dan sebagainya) sesuatu       0.00      0.00      0.00         0
alat untuk membuat bulatan (lingkaran, mengukur jarak pada peta, dan sebagainya), berupa benda yang berkaki dua yang dapat dilebarkan dan disempitkan langkahnya atau ukurannya       1.00      1.00      1.00         1
alat untuk mencapai suatu maksud (seperti membongkar rahasia, memecahkan masalah, menentukan kalah menang, atau berhasil tidaknya sesuatu)       0.00      0.00      0.00         1
alat untuk menghidupkan atau menjalankan mesin (mobil dan sebagainya)       0.50      1.00      0.67         1
ambil alih secara paksa, disertai ancaman (tentang pesawat dan sebagainya)       1.00      1.00      1.00         1
asing; lain; bukan keluarga       1.00      1.00      1.00         1
bagian besar dalam suatu drama atau lakon (terdiri atas beberapa adegan)       0.00      0.00      0.00         0
bagian dari suatu keseluruhan proses, kejadian, atau peristiwa       0.00      0.00      0.00         1
bagian kayu yang keras; inti kayu       1.00      1.00      1.00         1
bagian permainan yang waktunya tertentu; ronde       1.00      1.00      1.00         1
bagian tubuh yang di atas leher (pada manusia dan beberapa jenis hewan merupakan tempat otak, pusat jaringan saraf, dan beberapa pusat indra)       0.50      1.00      0.67         1
bagian tumbuhan yang akan menjadi buah, biasanya elok warnanya dan harum baunya; kembang       0.25      1.00      0.40         1
                                                  barang yang ditumbuk menjadi tepung halus       1.00      1.00      1.00         1
   benar       0.00      0.00      0.00         0
                                                   benda langit yang mampu memancarkan cahaya dan memproduksi energi sendiri, misalnya matahari       0.00      0.00      0.00         1
                 berhati-hati dalam membelanjakan uang, dan sebagainya; tidak boros; cermat       1.00      1.00      1.00         1
    berlari cepat-cepat; melarikan diri       1.00      1.00      1.00         1
         bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga       0.50      1.00      0.67         1
          bersuhu rendah apabila dibandingkan dengan suhu tubuh manusia; tidak panas; sejuk       0.50      1.00      0.67         1
                                  bidang tanah datar yang miring; bidang tanah yang lebih tinggi daripada yang lain (biasanya ditumbuhi rumput)       1.00      1.00      1.00         1
                             biji jarak       0.00      0.00      0.00         1
                                          binatang kecil yang berkulit keras, berupa kumbang yang suka makan kayu, balok, beras, dan sebagainya       1.00      1.00      1.00         1
                              buah apel       0.00      0.00      0.00         5
                    buka lebar; bentang       1.00      1.00      1.00         2
        cairan yang banyak mengandung zat gula pada sarang lebah atau bunga (rasanya manis)       1.00      1.00      1.00         2
                                      campuran berbagai-bagai gas yang meliputi bumi; udara       1.00      1.00      1.00         1
    ceri       0.00      0.00      0.00         0
   damai       0.00      0.00      0.00         0
       gangguan pernapasan yang sering bersifat alergis, ditandai dengan sulit bernapas dan rasa sesak dalam dada; penyakit sesak napas; bengek       1.00      1.00      1.00         3
